task,test_index,baseline_pass1,baseline_pass2,baseline_covered,baseline_passing_programs,baseline_distinct_outputs,v3_pass1,v3_pass2,v3_oracle,v3_covered,v3_passing_programs,v3_distinct_outputs,v3_top_votes,v3_top_min_complexity
d017b73f,0,0,0,0,0,0,0,0,0,0,0,0,0,
d06dbe63,0,0,0,0,0,0,0,0,0,0,0,0,0,
d23f8c26,0,0,0,0,0,0,0,0,0,0,0,0,0,
d364b489,0,0,0,0,0,0,0,0,0,0,0,0,0,
d4469b4b,0,0,0,0,0,0,0,0,0,0,0,0,0,
d4469b4b,1,0,0,0,0,0,0,0,0,0,0,0,0,
d4b1c2b1,0,0,0,0,0,0,0,0,0,0,0,0,0,
d5d6de2d,0,0,0,0,0,0,0,0,0,0,0,0,0,
d5d6de2d,1,0,0,0,0,0,0,0,0,0,0,0,0,
d687bc17,0,0,0,0,0,0,0,0,0,0,0,0,0,
d94c3b52,0,0,0,0,0,0,0,0,0,0,0,0,0,
da6e95e5,0,0,0,0,0,0,0,0,0,0,0,0,0,
da6e95e5,1,0,0,0,0,0,0,0,0,0,0,0,0,
db615bd4,0,0,0,0,0,0,0,0,0,0,0,0,0,
dc2e9a9d,0,0,0,0,0,0,0,0,0,0,0,0,0,
dc46ea44,0,0,0,0,0,0,0,0,0,0,0,0,0,
e21a174a,0,0,0,0,0,0,0,0,0,0,0,0,0,
e21a174a,1,0,0,0,0,0,0,0,0,0,0,0,0,
e26a3af2,0,0,0,0,0,0,0,0,0,0,0,0,0,
e4075551,0,0,0,0,0,0,0,0,0,0,0,0,0,
e50d258f,0,0,0,0,0,0,0,0,0,0,0,0,0,
e57337a4,0,0,0,0,0,0,0,0,0,0,0,0,0,
e5790162,0,0,0,0,0,0,0,0,0,0,0,0,0,
e69241bd,0,0,0,0,0,0,0,0,0,0,0,0,0,
e84fef15,0,0,0,0,0,0,0,0,0,0,0,0,0,
e872b94a,0,0,0,0,0,0,0,0,0,0,0,0,0,
e8dc4411,0,0,0,0,0,0,0,0,0,0,0,0,0,
e9614598,0,0,0,0,0,0,0,0,0,0,0,0,0,
e9614598,1,0,0,0,0,0,0,0,0,0,0,0,0,
e9afcf9a,0,0,0,0,0,0,0,0,0,0,0,0,0,
e9b4f6fc,0,0,0,0,0,0,0,0,0,0,0,0,0,
eb281b96,0,0,0,0,0,0,0,0,0,0,0,0,0,
f0afb749,0,0,0,0,0,0,0,0,0,0,0,0,0,
f0f8a26d,0,0,0,0,0,0,0,0,0,0,0,0,0,
f45f5ca7,0,0,0,0,0,0,0,0,0,0,0,0,0,
f76d97a5,0,0,0,0,0,0,0,0,0,0,0,0,0,
f83cb3f6,0,0,0,0,0,0,0,0,0,0,0,0,0,
f8cc533f,0,0,0,0,0,0,0,0,0,0,0,0,0,
f8cc533f,1,0,0,0,0,0,0,0,0,0,0,0,0,
f9a67cb5,0,0,0,0,0,0,0,0,0,0,0,0,0,
f9d67f8b,0,0,0,0,0,0,0,0,0,0,0,0,0,
fd4b2b02,0,0,0,0,0,0,0,0,0,0,0,0,0,
